WKT,uniqueid,start_nid,end_nid,oneway,osmid,length,type,lanes,maxspeed,capacity,fft
"LINESTRING (-122.2598838 37.854452,-122.2598732 37.8545275,-122.2598408 37.8547589)","390","142","1502","1","21466380",34.334,secondary,"2","25","1200",3.0721239184
"LINESTRING (-122.2593622 37.858603,-122.2593533 37.8586662,-122.2592909 37.8591099,-122.2592574 37.8593129,-122.2592331 37.8594728,-122.2592254 37.8595359)","964","173","346","0","574299582",104.431,secondary,"4","25","2401",9.3442352456
"LINESTRING (-122.2599844 37.8537271,-122.2599642 37.8538764)","1007","363","854","1","21466380",16.696,secondary,"2","25","1200",1.4939180096
"LINESTRING (-122.2594921 37.8576706,-122.2594825 37.8577393,-122.2594769 37.8577795,-122.2594528 37.8579521,-122.2593872 37.8584229,-122.2593709 37.8585402,-122.2593622 37.858603)","1230","346","440","0","574299582",104.303,secondary,"4","25","2401",9.3327821128
"LINESTRING (-122.2587144 37.8632634,-122.258705 37.8633307,-122.2585986 37.8640895,-122.2585867 37.8641741)","1329","453","471","0","1247986055",101.884,secondary,"4","25","2401",9.1163357984
"LINESTRING (-122.2601014 37.8529719,-122.2600874 37.8530442,-122.2599985 37.8536267,-122.2599942 37.8536574,-122.2599844 37.8537271)","1609","568","363","1","21466380",84.606,secondary,"2","25","1200",7.5703418256
"LINESTRING (-122.2589731 37.8614009,-122.2589632 37.8614679,-122.2589446 37.861603,-122.2589416 37.861628,-122.2589295 37.8617258,-122.2588504 37.8622697,-122.2588416 37.8623331)","1637","417","577","0","202317716",104.299,secondary,"4","25","2401",9.3324242024
"LINESTRING (-122.2591005 37.860467,-122.2590913 37.8605377,-122.259007 37.8611472,-122.2589829 37.8613345,-122.2589731 37.8614009)","1641","577","578","0","202317716",104.446,secondary,"4","25","2401",9.3455774096
"LINESTRING (-122.259837 37.8551921,-122.2598267 37.8552598,-122.259821 37.8553055,-122.2598064 37.8554096,-122.2597755 37.85563,-122.2597299 37.8559562,-122.2597268 37.8559782,-122.25971 37.8560979,-122.2596976 37.8561867)","1650","580","581","0","742663481",111.27,secondary,"4","25","2401",9.956172552
"LINESTRING (-122.2606301 37.8494466,-122.2605906 37.849747,-122.2605813 37.8498111,-122.2605373 37.8501138,-122.2605253 37.8501964)","1664","583","584","0","416105073",83.882,secondary,"4","30","2401",6.25463336933333
"LINESTRING (-122.260731 37.8487034,-122.2606301 37.8494466)","1665","584","585","0","28436962",83.114,secondary,"4","30","2401",6.19736770533333
"LINESTRING (-122.260731 37.8487034,-122.2607397 37.8486376,-122.2608253 37.8480234,-122.260833 37.8479684)","1668","501","585","0","28436962",82.217,secondary,"4","30","2401",6.13048319933333
"LINESTRING (-122.2613532 37.8442822,-122.2613156 37.8445673,-122.261289 37.8447465,-122.2612578 37.8449709,-122.2612485 37.845034)","1682","588","589","0","481521360",84.102,secondary,"4","30","2401",6.271037596
"LINESTRING (-122.2599642 37.8538764,-122.2598945 37.8543755,-122.2598838 37.854452)","2327","854","142","1","21466380",64.392,secondary,"2","25","1200",5.7616416192
"LINESTRING (-122.2601795 37.8527292,-122.2601319 37.8528042,-122.2601155 37.852903,-122.2601014 37.8529719)","2654","1024","568","1","1195562588",28.169,secondary,"2","25","1200",2.5204945144
"LINESTRING (-122.2591427 37.8601617,-122.2591005 37.860467)","3429","578","1401","0","202317716",34.149,secondary,"4","25","2401",3.0555705624
"LINESTRING (-122.2591427 37.8601617,-122.2591752 37.8599347,-122.2592084 37.8597019,-122.2592172 37.8596021,-122.2592254 37.8595359)","3430","173","1401","0","202317716",69.972,secondary,"4","25","2401",6.2609266272
"LINESTRING (-122.2613769 37.8441139,-122.2613532 37.8442822)","3445","589","1412","0","1178257379",18.829,secondary,"4","30","2401",1.40397810866667
"LINESTRING (-122.2613769 37.8441139,-122.2613851 37.8440552,-122.2613942 37.8439846)","3446","590","1412","0","481521361",14.458,secondary,"4","30","2401",1.07805595066667
"LINESTRING (-122.2602385 37.8523031,-122.2602664 37.8520878,-122.2602741 37.852027)","3628","582","1498","0","1195562589",30.859,secondary,"4","30","2401",2.30099104866667
"LINESTRING (-122.2602385 37.8523031,-122.2602352 37.8523285,-122.2601795 37.8527292)","3629","1024","1498","0","1195562589",47.662,secondary,"4","30","2401",3.55390114266667
"LINESTRING (-122.2598408 37.8547589,-122.2598118 37.8549636,-122.2597904 37.855117,-122.2597889 37.8551288,-122.259837 37.8551921)","3636","1502","581","1","21466380",49.591,secondary,"3","25","1800",4.4372836616
"LINESTRING (-122.2614063 37.8438975,-122.2613942 37.8439846)","3689","590","1531","0","1178257378",9.743,secondary,"4","30","2401",0.726483547333333
"LINESTRING (-122.2614063 37.8438975,-122.2614206 37.8437923,-122.2614582 37.8435117,-122.261463 37.8434759,-122.2615216 37.843051)","3691","591","1531","0","778470337",94.67,secondary,"4","30","2401",7.05903699333334
"LINESTRING (-122.2609014 37.8474875,-122.2609213 37.8473549,-122.2609282 37.8472996,-122.260939 37.8472287)","3794","482","1578","0","28436962",28.968,secondary,"4","30","2401",2.159989264
"LINESTRING (-122.2609014 37.8474875,-122.2608469 37.847871,-122.260833 37.8479684)","3795","501","1578","0","28436962",53.81,secondary,"4","30","2401",4.01232471333333
"LINESTRING (-122.261199 37.8453495,-122.2612064 37.8452946,-122.2612377 37.845104,-122.2612485 37.845034)","3800","588","1580","0","28436962",35.351,secondary,"4","30","2401",2.63593553133333
"LINESTRING (-122.261199 37.8453495,-122.2611709 37.8455482,-122.2611421 37.8457573)","3801","587","1580","0","28436962",45.62,secondary,"4","30","2401",3.40164009333333
"LINESTRING (-122.2610735 37.8462756,-122.2611282 37.845856,-122.2611421 37.8457573)","3804","587","1581","0","28436962",57.947,secondary,"4","30","2401",4.32079873933333
"LINESTRING (-122.2610735 37.8462756,-122.2610635 37.8463516,-122.2610456 37.8464891)","3805","586","1581","0","28436962",23.866,secondary,"4","30","2401",1.77956033466667
"LINESTRING (-122.2609996 37.8468084,-122.2610338 37.8465707,-122.2610456 37.8464891)","3810","586","1584","0","28436962",35.733,secondary,"4","30","2401",2.664419234
"LINESTRING (-122.2609707 37.847009,-122.260939 37.8472287)","3813","482","1585","0","28436962",24.588,secondary,"4","30","2401",1.833396024
"LINESTRING (-122.2609707 37.847009,-122.2609835 37.8469196,-122.2609996 37.8468084)","3814","1584","1585","0","28436962",22.449,secondary,"4","30","2401",1.673902202
"LINESTRING (-122.2604838 37.8504878,-122.2604532 37.8507023,-122.260412 37.8510289)","3829","238","1591","0","416105082",60.498,secondary,"6","30","3601",4.511013204
"LINESTRING (-122.2603586 37.8514132,-122.2602827 37.8519591,-122.2602741 37.852027)","3840","582","1596","0","416105082",68.654,secondary,"4","30","2401",5.11916262533333
"LINESTRING (-122.2603827 37.8512396,-122.2603586 37.8514132)","3843","1596","1598","0","416105082",19.419,secondary,"4","30","2401",1.447971262
"LINESTRING (-122.2603827 37.8512396,-122.260402 37.8511007,-122.260412 37.8510289)","3845","238","1598","0","416105082",23.57,secondary,"4","30","2401",1.75748919333333
"LINESTRING (-122.2596515 37.8565158,-122.2596461 37.856554)","3895","1505","1622","0","742663482",4.274,secondary,"1","25","600",0.3824272624
"LINESTRING (-122.2595539 37.8572085,-122.2595214 37.8574514,-122.2595008 37.8576056,-122.2594921 37.8576706)","3910","440","1627","0","574299582",51.669,secondary,"4","25","2401",4.6232181144
"LINESTRING (-122.2595539 37.8572085,-122.2595557 37.8571952,-122.2595644 37.8571301)","3911","579","1627","0","574299582",8.766,secondary,"4","25","2401",0.7843606416
"LINESTRING (-122.2596781 37.8563256,-122.259669 37.8563903,-122.2596515 37.8565158)","3960","1622","1652","0","742663482",21.278,secondary,"1","25","600",1.9039043728
"LINESTRING (-122.2596781 37.8563256,-122.2596855 37.8562726,-122.2596976 37.8561867)","3961","580","1652","0","742663482",15.54,secondary,"1","25","600",1.390481904
"LINESTRING (-122.259639 37.8566045,-122.2596415 37.8565874,-122.2596461 37.856554)","3964","1505","1653","0","742663482",5.65,secondary,"4","25","2401",0.50554844
"LINESTRING (-122.2587772 37.8627984,-122.2587616 37.8629059,-122.258742 37.8630413,-122.2587383 37.8630719,-122.2587302 37.8631383,-122.2587227 37.8631976,-122.2587144 37.8632634)","3965","471","1654","0","202317716",52.002,secondary,"4","25","2401",4.6530141552
"LINESTRING (-122.2587772 37.8627984,-122.2588328 37.8623964,-122.2588416 37.8623331)","3966","417","1654","0","202317716",52.047,secondary,"4","25","2401",4.6570406472
"LINESTRING (-122.2615751 37.8426632,-122.2615925 37.8425373,-122.2615939 37.8425269,-122.2616105 37.8424065,-122.261629 37.8422729,-122.2616343 37.8422342)","4016","1124","1680","0","328902340",47.985,secondary,"4","25","2401",4.293582636
"LINESTRING (-122.2615751 37.8426632,-122.2615732 37.8426769,-122.2615546 37.8428119,-122.2615216 37.843051)","4017","591","1680","0","328902340",43.376,secondary,"4","25","2401",3.8811803776
"LINESTRING (-122.2595958 37.8569089,-122.259639 37.8566045)","4099","1653","1719","0","574299582",34.06,secondary,"4","25","2401",3.047607056
"LINESTRING (-122.2595958 37.8569089,-122.259574 37.8570626,-122.2595644 37.8571301)","4100","579","1719","0","574299582",24.751,secondary,"4","25","2401",2.2146600776
"LINESTRING (-122.2605097 37.8503058,-122.2605136 37.8502786,-122.2605253 37.8501964)","4375","583","1870","0","416105077",12.242,secondary,"6","30","3601",0.912820649333333
"LINESTRING (-122.2605097 37.8503058,-122.2604999 37.8503751,-122.2604858 37.8504739,-122.2604838 37.8504878)","4376","1591","1870","0","416105077",20.366,secondary,"6","30","3601",1.51858400133333
"LINESTRING (-122.2585345 37.86461,-122.2584839 37.8646911,-122.2584669 37.8647577,-122.2584502 37.8649325,-122.2584464 37.8649932,-122.2584425 37.8650618,-122.2584543 37.8651268)","4427","1893","71","1","742663483",58.795,secondary,"2","25","1200",5.260835492
"LINESTRING (-122.2585345 37.86461,-122.2585411 37.8645448,-122.2585568 37.8643915,-122.2585779 37.8642425,-122.2585867 37.8641741)","4428","453","1893","0","1238424945",48.691,secondary,"3","25","1800",4.3567538216
