WKT,uniqueid,start_nid,end_nid,oneway,osmid,length,type,lanes,maxspeed,capacity,fft
"LINESTRING (-122.2266265 37.8440157,-122.2265442 37.8438999,-122.2264618 37.8437859,-122.2263773 37.843672,-122.2262896 37.8435591,-122.2262005 37.8434484,-122.2261086 37.8433361,-122.2260183 37.8432294,-122.2259225 37.8431192,-122.2258266 37.8430105,-122.2257314 37.842904,-122.2256343 37.8427952,-122.2255404 37.8426861,-122.2254505 37.8425761,-122.2253626 37.8424633,-122.225278 37.8423524,-122.2251081 37.8421234,-122.2248694 37.8418,-122.2246594 37.8415164,-122.2242875 37.8410056,-122.2237825 37.8403219)","2320","851","859","1","619117719",480.928,motorway,"2","65","3600",16.5508781587692
"LINESTRING (-122.2299616 37.8494571,-122.2294824 37.8492567,-122.2294057 37.8492253,-122.2292578 37.8491643,-122.2291898 37.8491349,-122.2291126 37.8491009,-122.2290227 37.8490586,-122.2289379 37.8490157,-122.2288512 37.8489681,-122.2287715 37.8489206,-122.2286878 37.8488671,-122.2285891 37.8488006,-122.2285016 37.8487348,-122.2284266 37.8486749,-122.2283497 37.8486069,-122.2282943 37.8485541,-122.2282369 37.8484961,-122.2281902 37.8484457,-122.228139 37.8483873,-122.2281008 37.84834,-122.2280575 37.848284,-122.2280163 37.8482272,-122.2279718 37.8481606,-122.227937 37.8481041,-122.2278999 37.8480402,-122.2278686 37.8479807,-122.2278378 37.8479183,-122.2278126 37.8478598,-122.227787 37.8477946,-122.2277663 37.8477369,-122.2277461 37.8476744,-122.2277292 37.8476173,-122.2277124 37.8475502,-122.2276994 37.8474872,-122.2276879 37.8474222,-122.2276797 37.8473632,-122.2276724 37.8472986)","2495","937","984","1","10627875",331.333,motorway,"2","65","3600",11.4026467849231
"LINESTRING (-122.2296417 37.8490297,-122.2304061 37.8491702,-122.2306614 37.8492117,-122.2316292 37.8493479,-122.2316737 37.8493554,-122.2317125 37.8493642,-122.2317501 37.8493748,-122.231784 37.8493867,-122.2318215 37.8494042,-122.2318512 37.8494224,-122.2318774 37.8494423,-122.2319032 37.8494667,-122.231925 37.8494941,-122.2319447 37.849527,-122.2319592 37.8495606,-122.2319686 37.8495929,-122.2319729 37.8496305,-122.2319709 37.8496692,-122.2319633 37.849708,-122.2319492 37.8497469,-122.231924 37.8497876,-122.2318929 37.8498222,-122.2318548 37.8498515,-122.2318053 37.8498774,-122.2317553 37.8498967,-122.2317012 37.8499116,-122.231647 37.84992,-122.2315948 37.8499222,-122.2315357 37.8499198,-122.2314643 37.8499151,-122.2313902 37.8499077,-122.2313213 37.8498998,-122.2312498 37.8498892,-122.2311785 37.8498771,-122.2311065 37.849862,-122.2310388 37.8498456,-122.2309732 37.8498277,-122.2309033 37.8498074,-122.2308392 37.8497877,-122.2307766 37.8497671,-122.2307157 37.8497456,-122.2306533 37.8497227,-122.2299616 37.8494571)","2582","982","937","1","23875266",431.677,motorway_link,"1","65","900",14.8559315135385
"LINESTRING (-122.2276724 37.8472986,-122.2276689 37.8472393,-122.2276663 37.8471692,-122.2276638 37.8470105,-122.2276546 37.8463533,-122.2276522 37.8462853,-122.22765 37.8462196,-122.2276465 37.846153,-122.2276421 37.8460863,-122.2276365 37.8460216,-122.2276284 37.8459549,-122.2276183 37.8458895,-122.2276073 37.8458234,-122.2275939 37.8457597,-122.2275774 37.8456933,-122.2275605 37.8456308,-122.2275402 37.8455643,-122.2275182 37.8455023,-122.2274964 37.8454398,-122.2274748 37.8453812,-122.2274484 37.8453147,-122.2274217 37.8452503,-122.2273934 37.8451872,-122.2273635 37.8451268,-122.2273326 37.8450661,-122.2273 37.845008,-122.2272635 37.8449464,-122.2272247 37.8448852,-122.2271879 37.8448284,-122.2271486 37.8447685,-122.2271094 37.8447112,-122.2270287 37.8445939,-122.2266265 37.8440157)","2586","984","851","1","416024401",384.296,motorway,"3","65","5400",13.2253399113846
