WKT,uniqueid,start_nid,end_nid,oneway,osmid,length,type,lanes,maxspeed,capacity,fft
"LINESTRING (-122.2042557 37.8669247,-122.2044124 37.8668779,-122.2045697 37.8668307,-122.2065806 37.8662235,-122.2067347 37.8661762,-122.2068927 37.8661234)","2141","765","775",TRUE,"737154872",248.047,motorway,"5","65","9000",8.536403941
"LINESTRING (-122.195741 37.8682033,-122.1958799 37.8681309,-122.1960166 37.8680649,-122.1961604 37.8680004,-122.1963028 37.8679397,-122.1964476 37.8678794,-122.1965951 37.8678222,-122.1967446 37.8677703,-122.1968942 37.8677212,-122.197045 37.867677,-122.1972029 37.8676347,-122.1973566 37.8675976,-122.1975147 37.8675622,-122.1976722 37.8675314,-122.1978316 37.8675044,-122.1979911 37.8674818,-122.1981638 37.8674607,-122.1983144 37.8674446,-122.1984778 37.8674296,-122.1986385 37.867419,-122.1988026 37.8674137,-122.1989634 37.8674118,-122.1991276 37.8674125,-122.199292 37.8674155,-122.2004407 37.8674347,-122.2006062 37.8674363,-122.2007715 37.8674358,-122.2009336 37.8674322,-122.2010988 37.8674274,-122.2012644 37.8674198,-122.2014295 37.8674107,-122.2015934 37.8674005,-122.2017591 37.8673882,-122.201924 37.8673735,-122.2020881 37.8673566,-122.2022513 37.8673377,-122.2024162 37.8673167,-122.2025798 37.8672941,-122.2027409 37.8672695,-122.2029046 37.8672418,-122.2030659 37.8672115,-122.2032272 37.8671786,-122.2033749 37.8671481,-122.2034966 37.8671205,-122.2036236 37.8670911,-122.2037842 37.8670518,-122.2039507 37.8670091,-122.2041063 37.8669671,-122.2042557 37.8669247)","2159","774","765",TRUE,"184487459",771.983,motorway,"4","65","7200",26.56737926
"LINESTRING (-122.1880017 37.8751251,-122.1880597 37.8750013,-122.1881184 37.874879,-122.1881783 37.8747557,-122.1882361 37.8746365,-122.1882994 37.8745143,-122.1883642 37.8743932,-122.188431 37.8742737,-122.1884988 37.8741586,-122.1885709 37.874042,-122.1886492 37.8739247,-122.1887272 37.8738128,-122.188808 37.8737032,-122.1888935 37.8735909,-122.1889817 37.8734786,-122.1890682 37.8733697,-122.1891583 37.8732606,-122.1892523 37.8731523,-122.1893482 37.87305,-122.1894485 37.8729484,-122.1895541 37.8728468,-122.1896625 37.8727464,-122.1897687 37.8726516,-122.1898799 37.872555,-122.1899897 37.8724606,-122.190103 37.872364,-122.1902145 37.872273,-122.1903321 37.8721808,-122.1904522 37.8720905,-122.1909296 37.8717315,-122.1912254 37.8715109,-122.1917617 37.8711083,-122.1919385 37.8709766,-122.1923285 37.8706855,-122.1926654 37.8704316,-122.1947414 37.868873,-122.1948639 37.8687808,-122.1949814 37.8686933,-122.1951036 37.8686042,-122.1952268 37.8685172,-122.1953527 37.8684337,-122.1954791 37.8683548,-122.1956087 37.8682777,-122.195741 37.8682033)","2643","1018","774",TRUE,"416103504",1039.157,motorway,"4","65","7200",35.76202861
