WKT,uniqueid,start_nid,end_nid,oneway,osmid,length,type,lanes,maxspeed,capacity,fft
"LINESTRING (-122.2584543 37.8651268,-122.2583768 37.8651371,-122.2579997 37.865185,-122.2578102 37.8652096)","191","71","72","1","1248973827",57.286,tertiary,"2","25","1800",5.1258137936
"LINESTRING (-122.2578102 37.8652096,-122.2574731 37.8652538,-122.2573099 37.8652744,-122.2570134 37.8653117,-122.2568048 37.865338,-122.2566104 37.8653625,-122.2565154 37.8653745)","193","72","73","1","196779228",115.132,tertiary,"2","25","1800",10.3017350432
"LINESTRING (-122.2565154 37.8653745,-122.2563848 37.8653919,-122.2562615 37.8654083,-122.2561822 37.8654188)","195","73","74","1","1248973826",29.661,tertiary,"2","25","1800",2.6539950936
"LINESTRING (-122.2561822 37.8654188,-122.2554978 37.8655064,-122.2554499 37.8655125,-122.2553032 37.865532,-122.2552126 37.865544)","196","74","75","1","416106321",86.245,tertiary,"2","25","1800",7.716995612
"LINESTRING (-122.2552126 37.865544,-122.2541376 37.8656846,-122.2540048 37.865702,-122.2539218 37.8657196)","199","75","76","1","416106320",115.014,tertiary,"2","25","1800",10.2911766864
"LINESTRING (-122.2539218 37.8657196,-122.2538291 37.8657393,-122.2536595 37.8657484,-122.2531696 37.8657768,-122.2527734 37.8658)","200","76","77","1","43256407",101.345,tertiary,"2","25","1800",9.068107372
"LINESTRING (-122.2527734 37.8658,-122.2519159 37.8658522,-122.2517747 37.8658608,-122.2517156 37.8658644,-122.251615 37.8658705)","203","77","78","1","43256407",101.989,tertiary,"2","25","1800",9.1257309464
"LINESTRING (-122.251615 37.8658705,-122.2513261 37.8658868,-122.2510987 37.8658996)","206","78","79","1","1174895726",45.438,tertiary,"3","25","2700",4.0656831888
"LINESTRING (-122.2505259 37.8655579,-122.2506019 37.8656289,-122.2507138 37.8657093,-122.2508192 37.8657696,-122.2508244 37.8657726,-122.2509494 37.8658305,-122.2509803 37.8658448,-122.2510987 37.8658996)","847","79","306","0","24620176",63.523,tertiary,"4","25","3600",5.6838855848
"LINESTRING (-122.2470823 37.8625011,-122.246907 37.8625116,-122.2465227 37.8625342,-122.2462984 37.8625463,-122.246184 37.8625525,-122.2460961 37.8625453,-122.2460513 37.8625233,-122.2460177 37.8624992,-122.2459997 37.8624799,-122.2459712 37.8624117,-122.2458398 37.8610561,-122.2458345 37.8609895,-122.2458267 37.8609274,-122.2458081 37.8608501,-122.2457633 37.8607699)","1855","434","651","0","201989360",290.124,tertiary,"2","25","1800",25.9595992224
"LINESTRING (-122.2450524 37.8584661,-122.2450903 37.8585331,-122.2452614 37.8587852,-122.2453181 37.8588802,-122.2453218 37.8589007,-122.245335 37.8589735)","2112","448","751","0","201989357",62.121,tertiary,"1","25","900",5.5584379896
"LINESTRING (-122.2454268 37.8597905,-122.2454161 37.8596844,-122.2453954 37.8594654,-122.2453829 37.8593456,-122.2453696 37.8592089,-122.2453673 37.8591855,-122.2453649 37.859165,-122.2453485 37.8590484,-122.245335 37.8589735)","2122","448","755","0","1031588921",91.221,tertiary,"1","25","900",8.1622361496
"LINESTRING (-122.2454268 37.8597905,-122.2454355 37.8598768,-122.245461 37.8601701,-122.2454796 37.8603221,-122.2454982 37.8604152,-122.2455339 37.8604963,-122.245561 37.8605385,-122.2455996 37.8605883,-122.2457209 37.8607139,-122.2457633 37.8607699)","2123","434","755","0","6405162",115.894,tertiary,"1","25","900",10.3699169744
"LINESTRING (-122.2498339 37.8623379,-122.2499282 37.8623722,-122.2499744 37.8623959,-122.2500043 37.8624112,-122.250026 37.8624263,-122.2501457 37.8625236)","2570","975","976","1","24620194",34.701,tertiary_link,"1","25","900",3.1049621976
"LINESTRING (-122.2498339 37.8623379,-122.2490028 37.8623857,-122.2487689 37.8623996)","2571","548","975","0","656030854",93.744,tertiary,"2","25","1800",8.3879881344
"LINESTRING (-122.2502898 37.864037,-122.2502935 37.8640739,-122.2502991 37.8641288)","2709","307","1046","0","698994089",10.24,tertiary,"1","25","900",0.916250624
"LINESTRING (-122.2503085 37.8642209,-122.2502991 37.8641288)","2817","307","1108","0","698994089",10.274,tertiary,"1","25","900",0.9192928624
"LINESTRING (-122.2503085 37.8642209,-122.2503112 37.8642474,-122.2503122 37.8642572,-122.2503385 37.8645348,-122.2504113 37.865313,-122.2504249 37.8653894,-122.250456 37.8654743,-122.2505259 37.8655579)","2818","306","1108","0","21460654",151.315,tertiary,"2","25","1800",13.539303044
"LINESTRING (-122.2502111 37.8632061,-122.2501681 37.8627439,-122.2501516 37.8625818,-122.2501457 37.8625236)","2938","976","1170","0","698994088",76.108,tertiary,"2","25","1800",6.8099611808
"LINESTRING (-122.2502111 37.8632061,-122.250275 37.8638922,-122.2502898 37.864037)","2939","1046","1170","0","698994088",92.65,tertiary,"2","25","1800",8.29009964
"LINESTRING (-122.2479568 37.8624475,-122.2487689 37.8623996)","2949","548","1175","0","656030857",71.491,tertiary,"2","25","1800",6.3968431016
"LINESTRING (-122.2479568 37.8624475,-122.2473554 37.8624849,-122.247315 37.8624873,-122.2470823 37.8625011)","2950","651","1175","0","201989360",77.002,tertiary,"2","25","1800",6.8899541552
"LINESTRING (-122.2450755 37.8583743,-122.245062 37.8583976,-122.2450524 37.8584661)","3611","751","1490","0","5149904",10.512,secondary,"5","25","3001",0.9405885312
