WKT,uniqueid,start_nid,end_nid,oneway,osmid,length,type,lanes,maxspeed,capacity,fft
"LINESTRING (-122.211174 37.8613395,-122.2113987 37.8613138,-122.2115257 37.861312,-122.211673 37.8613404,-122.2118211 37.8613904,-122.2119781 37.8614566,-122.212436 37.8616496,-122.2125699 37.8616999,-122.2127283 37.861748,-122.2128784 37.8617784,-122.2131606 37.8618194,-122.2133736 37.8618656,-122.2136322 37.8620227,-122.2138352 37.8621793,-122.2139673 37.8622762,-122.214112 37.8623753,-122.2142725 37.8624714,-122.2144451 37.862563,-122.2147512 37.8627124,-122.2149431 37.862819,-122.2151589 37.8629498,-122.2157082 37.8632818,-122.2160086 37.8634376,-122.2162146 37.8635325,-122.2165665 37.8636477,-122.2168068 37.8637358,-122.2169441 37.8638103,-122.2170557 37.8638849,-122.2171759 37.8639933,-122.2172617 37.8641288,-122.2173218 37.8642643,-122.217399 37.8645218,-122.2174505 37.8646641,-122.2175278 37.8647996,-122.217605 37.8649216,-122.2178025 37.8651452,-122.2179741 37.8653688,-122.2181363 37.8656605,-122.2182783 37.8659247,-122.218392 37.8661709,-122.2184421 37.8662903,-122.2184753 37.8664195,-122.2184892 37.8665466,-122.2184865 37.8666604,-122.2184649 37.8668069,-122.2184201 37.8669882,-122.218362 37.8671399,-122.2182659 37.8673228,-122.2180049 37.8677487,-122.2179148 37.8679064,-122.2178742 37.8680169,-122.2178596 37.8681475,-122.2178596 37.8682933,-122.2178621 37.8683582)","2154","5","772",FALSE,"9898622",1138.406,secondary,"1","35","600",72.75845479
"LINESTRING (-122.211174 37.8613395,-122.211186 37.8614253,-122.2111775 37.8615723,-122.2111552 37.8616548,-122.211113 37.8617373,-122.2110324 37.8618225,-122.2109093 37.8619113,-122.2107479 37.8620206,-122.2105603 37.8621705,-122.2104277 37.8622888,-122.2102728 37.8624465,-122.2101546 37.862583,-122.2100963 37.8626573,-122.2099813 37.8628147,-122.2098831 37.8629681,-122.2097765 37.8631728,-122.2096996 37.863356,-122.209634 37.8635505,-122.2095814 37.8637617,-122.209567 37.8638527,-122.209553 37.863969,-122.2095425 37.8641174,-122.2095399 37.8642829,-122.2095467 37.8644375,-122.2095584 37.8646325,-122.2095564 37.8647157,-122.2095525 37.8647545,-122.2095461 37.86479,-122.2095328 37.8648341,-122.2095147 37.8648832,-122.2094898 37.8649314,-122.2094609 37.8649765,-122.2094299 37.8650135,-122.2093958 37.8650524)","2155","771","772",FALSE,"23717703",460.28,motorway_link,"2","65","1800",15.84028836
"LINESTRING (-122.2068927 37.8661234,-122.2072175 37.86604,-122.2073747 37.8659928,-122.2075235 37.8659373,-122.2076387 37.8658846,-122.208365 37.865497,-122.2084329 37.8654627,-122.2084983 37.8654307,-122.2085625 37.8654007,-122.2086276 37.8653737,-122.2086912 37.8653489,-122.2087614 37.8653239,-122.208822 37.8653043,-122.2088865 37.8652862,-122.2089555 37.8652685,-122.2090512 37.8652454,-122.2091053 37.8652318,-122.2091564 37.8652163,-122.2092043 37.8651989,-122.2092527 37.8651751,-122.2092974 37.8651454,-122.2093649 37.8650883,-122.2093958 37.8650524)","2161","775","771",TRUE,"7854523",252.636,motorway_link,"1","65","900",8.694331905
