WKT,uniqueid,start_nid,end_nid,oneway,osmid,length,type,lanes,maxspeed,capacity,fft
"LINESTRING (-122.2178621 37.8683582,-122.2178664 37.8684708,-122.2178944 37.8686404,-122.2179274 37.8687541,-122.2179806 37.8688502,-122.2180506 37.8689257,-122.2181837 37.8690274,-122.2184077 37.8691915,-122.2191874 37.8697684,-122.2194771 37.8699473,-122.2196059 37.8700066,-122.2197507 37.8700489,-122.2200645 37.8701315,-122.2202308 37.8701791,-122.2204052 37.8702691,-122.220554 37.870375,-122.2206653 37.8705094,-122.2207404 37.8706111,-122.2208021 37.8706555,-122.2208353 37.870667,-122.2208786 37.870682,-122.2209631 37.8706915,-122.2210449 37.8706757,-122.2211186 37.8706471,-122.2213313 37.8705461,-122.2215424 37.8704586,-122.2216899 37.870411,-122.2220649 37.8703023,-122.2224208 37.8702088,-122.2225308 37.8701982,-122.2226166 37.8702045,-122.2227333 37.8702374,-122.2229814 37.8703496,-122.2232188 37.870466,-122.2232899 37.8705094,-122.223369 37.870592,-122.2234575 37.8707455,-122.2235112 37.870863,-122.2235809 37.870971,-122.2240007 37.87144,-122.2240925 37.8715205,-122.2241683 37.8715681,-122.2242568 37.8715925,-122.2243306 37.8715872,-122.2243929 37.8715628,-122.2244707 37.8714993,-122.2246886 37.8712272,-122.2247651 37.8711076,-122.2248254 37.8709774,-122.2249032 37.8706619,-122.2249502 37.8705454,-122.2249951 37.870468,-122.2250535 37.8703988,-122.225091 37.8703665,-122.2255662 37.8700404,-122.2256394 37.8699937,-122.2258165 37.8698884,-122.2259362 37.8698332,-122.226074 37.8697779,-122.2263704 37.8696869,-122.2268022 37.8695704,-122.2270141 37.8694942,-122.227181 37.8694075,-122.2274446 37.8692527,-122.2275935 37.8691935,-122.227745 37.8691554,-122.2279727 37.8691276,-122.2280712 37.8691201,-122.2282548 37.8691113,-122.2284464 37.8690908,-122.2285438 37.8690599,-122.2286248 37.8690177,-122.2287348 37.8689404,-122.2288884 37.8687916,-122.2289826 37.8686664,-122.2290803 37.8685573,-122.229354 37.8683501,-122.229527 37.8682229,-122.2296809 37.8681263,-122.2297506 37.8680693,-122.2298227 37.8679838,-122.2298664 37.8678995,-122.2302454 37.8672475,-122.230328 37.8671036,-122.2304059 37.8669811,-122.2306073 37.8667332,-122.2307683 37.8665408,-122.2308297 37.8664576)","16","4","5",FALSE,"37890024",1633.159,secondary,"2","30","1200",121.7759564
"LINESTRING (-122.2440549 37.860731,-122.2439244 37.8608071,-122.2437478 37.8608777,-122.2435192 37.8609476,-122.2433676 37.8609763)","21","2","7",FALSE,"188702003",66.828,secondary,"1","25","600",5.979609053
"LINESTRING (-122.2440549 37.860731,-122.2441689 37.8606289,-122.2442434 37.8605394,-122.24429 37.8604355,-122.2443021 37.8603839,-122.2443164 37.8603048,-122.2443483 37.8600819,-122.2443826 37.8598274)","22","6","7",FALSE,"188702003",107.421,secondary,"1","25","600",9.61177327
"LINESTRING (-122.2445702 37.8590061,-122.2445388 37.859077,-122.2445064 37.859176,-122.2444669 37.8593196,-122.2444531 37.8593866,-122.2444276 37.8595106,-122.2443826 37.8598274)","1260","6","449",FALSE,"201989356",93.026,secondary,"1","25","600",8.323743218
"LINESTRING (-122.2311007 37.8659335,-122.2309885 37.8661217,-122.230932 37.8662485,-122.2308816 37.8663618,-122.2308297 37.8664576)","2231","4","807",FALSE,"1182621649",63.014,secondary,"2","30","1200",4.698617905
"LINESTRING (-122.2311007 37.8659335,-122.231305 37.8655791,-122.2314092 37.8654383,-122.2314969 37.8653173,-122.2315725 37.8652418,-122.2316848 37.8651575,-122.231847 37.8650577,-122.2320971 37.8649392,-122.2323054 37.8648331,-122.2324081 37.8647747,-122.232505 37.8647184,-122.2325756 37.8646686,-122.232641 37.8646137,-122.2327151 37.8645427,-122.2328061 37.8644349,-122.2329211 37.8643119,-122.2330062 37.8642351,-122.2330937 37.8641691,-122.2333212 37.8640701)","2232","806","807",FALSE,"1182621649",291.423,secondary,"2","30","1200",21.72985885
"LINESTRING (-122.24234 37.8605105,-122.242392 37.8605162,-122.2424865 37.8605437,-122.2425958 37.8605924,-122.2427672 37.8607051,-122.2429372 37.8608373,-122.243018 37.8608958,-122.2430702 37.8609236,-122.2431135 37.8609397,-122.2431745 37.8609587,-122.2432395 37.8609714,-122.2432806 37.8609784,-122.2433676 37.8609763)","3341","2","1360",FALSE,"5149903",107.32,secondary,"2","25","1200",9.602736032
"LINESTRING (-122.2450015 37.8585048,-122.2450524 37.8584661)","3601","751","1487",FALSE,"201989355",6.204,secondary,"1","25","600",0.55511903
"LINESTRING (-122.2450015 37.8585048,-122.2449243 37.8585634,-122.2449018 37.8585848,-122.2447942 37.8587106,-122.244611 37.8589371,-122.2445702 37.8590061)","3602","449","1487",FALSE,"201989355",67.724,secondary,"1","25","600",6.059780982
"LINESTRING (-122.2450755 37.8583743,-122.245062 37.8583976,-122.2450524 37.8584661)","3611","751","1490",FALSE,"5149904",10.512,secondary,"5","25","3001",0.940588531
