WKT,uniqueid,start_nid,end_nid,oneway,osmid,length,type,lanes,maxspeed,capacity,fft
"LINESTRING (-122.2224773 37.8505365,-122.2226365 37.8505815,-122.2232809 37.8507709,-122.2233789 37.8508028,-122.2234719 37.8508355,-122.2236402 37.8508985,-122.2236894 37.8509167)","94","33","34",FALSE,"25006970",114.587,tertiary,"3","35","2700",7.323549822
"LINESTRING (-122.2276811 37.8527526,-122.2275951 37.8527286,-122.227355 37.8526606,-122.2272429 37.8526342,-122.2270764 37.852618,-122.2269469 37.8526186)","618","158","226",FALSE,"1254523961",66.773,tertiary,"2","25","1800",5.974687785
"LINESTRING (-122.2259897 37.8533602,-122.2260136 37.8532419,-122.2260605 37.8531286,-122.2261604 37.8529778,-122.2262845 37.8528636,-122.2264437 37.8527536,-122.2265786 37.8526973,-122.226778 37.8526415,-122.2269469 37.8526186)","623","158","228",FALSE,"1254523961",127.822,tertiary,"2","25","1800",11.43720579
"LINESTRING (-122.2267122 37.8499614,-122.2262064 37.849867,-122.2261613 37.8498598,-122.2261146 37.8498535,-122.2260697 37.8498481,-122.2260236 37.8498437,-122.2259774 37.849841,-122.2259365 37.8498392,-122.2258966 37.8498379,-122.2258585 37.8498374,-122.2258196 37.8498375,-122.225782 37.8498386,-122.2257475 37.8498409,-122.2257128 37.8498435,-122.2256651 37.8498482,-122.2255885 37.8498554,-122.2255077 37.8498634,-122.225423 37.8498729,-122.2253349 37.849883,-122.2252566 37.849893,-122.2250581 37.8499211,-122.2249935 37.8499313,-122.2249281 37.8499432,-122.2248577 37.8499601,-122.2247781 37.8499828,-122.2247083 37.8500044,-122.2246344 37.8500315,-122.2245722 37.8500569,-122.2245146 37.8500828,-122.2244629 37.8501083,-122.2244113 37.8501373,-122.2243653 37.8501644,-122.2243191 37.8501937,-122.2242714 37.8502271,-122.2242263 37.8502618,-122.2241855 37.8502966,-122.2241431 37.8503355,-122.2241067 37.8503718,-122.2240698 37.8504124,-122.2240287 37.8504621,-122.223959 37.85056,-122.2236894 37.8509167)","628","33","230",FALSE,"416019330",317.896,tertiary,"3","35","2700",20.31755081
"LINESTRING (-122.2265983 37.8503528,-122.2267599 37.8503823,-122.2272149 37.8504654,-122.2272626 37.8504745,-122.2273096 37.8504851,-122.2273573 37.8504972,-122.2274088 37.850511,-122.2274547 37.850525,-122.2274959 37.8505387,-122.2275394 37.8505535,-122.2275861 37.8505708,-122.2276385 37.850592,-122.2276987 37.8506195,-122.2277557 37.8506475,-122.2278314 37.850688,-122.2288155 37.8512514,-122.2290816 37.8514208,-122.2292533 37.8516106,-122.229316 37.8517244,-122.2293614 37.8518463,-122.2293817 37.8519505,-122.2293845 37.8520526,-122.2293719 37.8521711,-122.229335 37.8522951,-122.2292856 37.8523926,-122.2292148 37.8524921,-122.2291248 37.8525884,-122.2290108 37.8526874)","1423","37","504",FALSE,"6406163",409.096,tertiary,"2","25","1800",36.60492825
"LINESTRING (-122.2265983 37.8503528,-122.2266857 37.8500509,-122.2267122 37.8499614)","1424","230","504",FALSE,"619027312",44.656,tertiary,"2","25","1800",3.995711706
"LINESTRING (-122.2249634 37.8591647,-122.224772 37.859395,-122.224731 37.859467,-122.224719 37.859528,-122.224781 37.8599,-122.224783 37.86027,-122.2249333 37.8605323,-122.2249794 37.8605847)","1825","342","640",FALSE,"6366887",168.241,residential,"1","30","900",12.54483408
"LINESTRING (-122.2261208 37.853854,-122.2260236 37.8538973,-122.2254885 37.8541352,-122.2251756 37.8543228,-122.2247418 37.8546299,-122.2246388 37.8547383)","1967","634","693",FALSE,"6379221",164.43,residential,"1","30","900",12.26066814
"LINESTRING (-122.2261208 37.853854,-122.2260404 37.8537046,-122.2260077 37.8536135,-122.2259891 37.8535219,-122.2259897 37.8533602)","1969","228","693",FALSE,"1254523961",56.875,tertiary,"2","25","1800",5.0890385
"LINESTRING (-122.2228686 37.8555864,-122.2234096 37.8555793,-122.2234753 37.8555817,-122.2237024 37.8556147,-122.2237622 37.8556171,-122.223819 37.8556076,-122.2239116 37.855577,-122.2239684 37.8555605,-122.2240371 37.8555557,-122.2243031 37.8556029,-122.2243819 37.8556096,-122.2244303 37.8555915,-122.2245251 37.8555329,-122.2245959 37.8553889,-122.2246302 37.8553008,-122.224656 37.8551653,-122.2246474 37.8550636,-122.224613 37.854901,-122.224613 37.8548264,-122.2246388 37.8547383)","1971","634","694",FALSE,"6379221",240.929,residential,"1","30","900",17.96479058
"LINESTRING (-122.2238668 37.8573561,-122.2239505 37.8573278,-122.2240252 37.8572853,-122.2240909 37.8572169,-122.2242404 37.8569196,-122.2242673 37.8567096,-122.2242613 37.8566293,-122.2242045 37.8563863,-122.2242164 37.8563155,-122.2242822 37.8562235,-122.2243509 37.8561787,-122.2244227 37.856148,-122.224745 37.8561278,-122.2248531 37.8561196,-122.2249376 37.8561117)","1990","701","702",FALSE,"6382586",201.154,residential,"1","30","900",14.99898096
"LINESTRING (-122.2238668 37.8573561,-122.2238847 37.8571862,-122.2238758 37.8571249,-122.2238519 37.8570635,-122.2237156 37.8568377,-122.2236367 37.8567049,-122.2235799 37.8566341,-122.223027 37.8560819,-122.2229374 37.8559946,-122.2228686 37.8559026,-122.2228358 37.8558318,-122.2228328 37.8557775,-122.2228686 37.8555864)","1991","694","702",FALSE,"6404682",224.96,residential,"1","30","900",16.77406741
"LINESTRING (-122.2251253 37.8567013,-122.2250676 37.8562326,-122.2250613 37.8561921,-122.2250378 37.8561486,-122.2249924 37.856117,-122.2249376 37.8561117)","2025","701","714",FALSE,"6397143",72.32,residential,"1","30","900",5.392516693
"LINESTRING (-122.2282008 37.8528814,-122.2283911 37.8528856,-122.2285791 37.8528601,-122.2286973 37.8528339,-122.2288224 37.8527906,-122.2290108 37.8526874)","2251","37","818",FALSE,"1254523961",76.367,tertiary,"2","25","1800",6.833135879
