WKT,uniqueid,start_nid,end_nid,oneway,osmid,length,type,lanes,maxspeed,capacity,fft
"LINESTRING (-122.2490627 37.8534293,-122.2491101 37.8533708,-122.2493798 37.8530345)","365","132","133",FALSE,"785854260",51.983,secondary,"4","25","2401",4.651314081
"LINESTRING (-122.2570245 37.8435672,-122.2571268 37.8434899,-122.2572866 37.8432958,-122.2573101 37.8432714)","635","232","1522",TRUE,"394114023",41.585,secondary,"2","30","1200",3.100771663
"LINESTRING (-122.247394 37.8554954,-122.247353 37.855545,-122.2469932 37.8559904,-122.2469051 37.856101,-122.2468395 37.8561834,-122.2467254 37.8563277,-122.246654 37.8564181)","767","134","277",FALSE,"785854260",121.441,secondary,"4","25","2401",10.86624922
"LINESTRING (-122.2549633 37.8461146,-122.2541902 37.8470725)","1901","616","668",FALSE,"281365722",126.306,secondary,"4","25","2401",11.30155775
"LINESTRING (-122.2503535 37.8518397,-122.2508866 37.8511811,-122.250992 37.8510504)","1984","313","700",FALSE,"785854260",104.142,secondary,"4","25","2401",9.318376219
"LINESTRING (-122.2503535 37.8518397,-122.2500386 37.8522195,-122.2499744 37.8522987)","1985","215","700",FALSE,"785854260",60.933,secondary,"4","25","2401",5.452138601
"LINESTRING (-122.2494658 37.8529329,-122.2498909 37.8524023,-122.2499309 37.8523526,-122.2499744 37.8522987)","2038","215","720",FALSE,"785854260",83.469,secondary,"4","25","2401",7.468605794
"LINESTRING (-122.2494658 37.8529329,-122.2494236 37.8529828,-122.2493798 37.8530345)","2039","132","720",FALSE,"785854260",13.588,secondary,"4","25","2401",1.215821629
"LINESTRING (-122.2460267 37.8571959,-122.2463242 37.8568175,-122.246654 37.8564181)","2086","134","742",FALSE,"785854260",102.54,secondary,"4","25","2401",9.175033104
"LINESTRING (-122.2540886 37.8472001,-122.2541555 37.8471161,-122.2541902 37.8470725)","2860","616","1130",FALSE,"281365722",16.76,secondary,"4","25","2401",1.499644576
"LINESTRING (-122.2476629 37.8551754,-122.247394 37.8554954)","3053","277","1226",FALSE,"785854260",42.702,secondary,"4","25","2401",3.820872475
"LINESTRING (-122.2481972 37.8545022,-122.24813 37.8545833,-122.247792 37.8550157,-122.2476629 37.8551754)","3058","1226","1227",FALSE,"785854260",88.344,secondary,"4","25","2401",7.904809094
"LINESTRING (-122.2486008 37.8539987,-122.2490627 37.8534293)","3059","133","1228",FALSE,"785854260",75.189,secondary,"4","25","2401",6.727731266
