WKT,uniqueid,start_nid,end_nid,oneway,osmid,length,type,lanes,maxspeed,capacity,fft
"LINESTRING (-122.1980403 37.8667474,-122.1978952 37.8667454,-122.197861 37.86675,-122.1978321 37.8667646,-122.1977727 37.8668137,-122.1977262 37.866856)","2151","770","779","1","737149035",32.574,motorway_link,"1","65","900",1.12101667015385
"LINESTRING (-122.195741 37.8682033,-122.1958799 37.8681309,-122.1960166 37.8680649,-122.1961604 37.8680004,-122.1963028 37.8679397,-122.1964476 37.8678794,-122.1965951 37.8678222,-122.1967446 37.8677703,-122.1968942 37.8677212,-122.197045 37.867677,-122.1972029 37.8676347,-122.1973566 37.8675976,-122.1975147 37.8675622,-122.1976722 37.8675314,-122.1978316 37.8675044,-122.1979911 37.8674818,-122.1981638 37.8674607,-122.1983144 37.8674446,-122.1984778 37.8674296,-122.1986385 37.867419,-122.1988026 37.8674137,-122.1989634 37.8674118,-122.1991276 37.8674125,-122.199292 37.8674155,-122.2004407 37.8674347,-122.2006062 37.8674363,-122.2007715 37.8674358,-122.2009336 37.8674322,-122.2010988 37.8674274,-122.2012644 37.8674198,-122.2014295 37.8674107,-122.2015934 37.8674005,-122.2017591 37.8673882,-122.201924 37.8673735,-122.2020881 37.8673566,-122.2022513 37.8673377,-122.2024162 37.8673167,-122.2025798 37.8672941,-122.2027409 37.8672695,-122.2029046 37.8672418,-122.2030659 37.8672115,-122.2032272 37.8671786,-122.2033749 37.8671481,-122.2034966 37.8671205,-122.2036236 37.8670911,-122.2037842 37.8670518,-122.2039507 37.8670091,-122.2041063 37.8669671,-122.2042557 37.8669247)","2159","774","765","1","184487459",771.983,motorway,"4","65","7200",26.5673792618462
"LINESTRING (-122.195741 37.8682033,-122.1962846 37.8680113,-122.1967353 37.8678764,-122.1972324 37.8677525,-122.197463 37.8677137,-122.1977374 37.8676616,-122.1978324 37.867645,-122.1979122 37.867632,-122.1979943 37.8676196,-122.1980815 37.8676079,-122.1981661 37.8675976,-122.1982576 37.8675882,-122.1983446 37.8675802,-122.1984272 37.8675732,-122.1985137 37.8675669,-122.1986017 37.8675609,-122.1986887 37.8675567,-122.1987753 37.8675532,-122.1988612 37.8675512,-122.1989472 37.8675502,-122.1990349 37.8675501,-122.1991218 37.8675511,-122.1992161 37.8675524,-122.199694 37.8675607,-122.1998641 37.867565,-122.1999236 37.8675686,-122.1999821 37.8675745,-122.2000389 37.8675856,-122.2000962 37.8676021,-122.2001482 37.8676214,-122.2001954 37.867643)","2160","774","1141","1","393414627",404.187,motorway_link,"1","65","900",13.9098779658462
"LINESTRING (-122.2068927 37.8661234,-122.2070377 37.8660689,-122.2071922 37.8660059,-122.2073322 37.8659424,-122.207485 37.865866,-122.2076055 37.8658014,-122.2077426 37.8657201,-122.2078708 37.8656375,-122.2079931 37.8655511,-122.2081105 37.8654621,-122.2082237 37.8653688,-122.2083365 37.8652688,-122.2084417 37.8651685,-122.2085394 37.865066,-122.2086351 37.8649571,-122.2087235 37.8648472,-122.2088073 37.864734,-122.2088821 37.8646194,-122.208955 37.8644983)","2162","775","935","1","23717707",261.509,motorway,"4","65","7200",8.99969142246154
"LINESTRING (-122.1977262 37.866856,-122.197642 37.866829,-122.1976091 37.8668303,-122.1975754 37.8668405,-122.1973472 37.8669455,-122.1969805 37.8671094,-122.1966106 37.8672715,-122.1964942 37.867324,-122.196375 37.8673802)","2170","779","1017","1","7873175",135.309,motorway_link,"1","65","900",4.65658637630769
"LINESTRING (-122.2088092 37.864275,-122.2087453 37.8643967,-122.208673 37.8645187,-122.2085976 37.864633,-122.2085147 37.8647458,-122.2084233 37.8648584,-122.2083288 37.864965,-122.208228 37.8650692,-122.2081211 37.8651708,-122.2080086 37.8652681,-122.2078961 37.8653581,-122.2077729 37.8654476,-122.2076462 37.8655323,-122.207515 37.865613,-122.2073797 37.8656891,-122.2072405 37.8657607,-122.2070962 37.8658273)","2187","787","986","1","123467773",233.481,motorway,"4","65","7200",8.03512289446154
"LINESTRING (-122.2224291 37.8529639,-122.2224378 37.8529254,-122.2224486 37.8528857,-122.2224614 37.8528475,-122.2224756 37.8528106,-122.222492 37.8527726,-122.222507 37.8527381,-122.2225868 37.8525658,-122.2226035 37.8525285,-122.2226199 37.8524878,-122.2226344 37.8524482,-122.2228617 37.8517606,-122.2228961 37.8516467,-122.2231461 37.8507452)","2189","789","1120","1","24501312",254.854,motorway_link,"1","30","900",19.0031035586667
"LINESTRING (-122.235691 37.8487654,-122.2353235 37.8486245,-122.2350882 37.8485687,-122.2348384 37.8485262,-122.2345201 37.8485054,-122.2341914 37.8485076,-122.2338263 37.8485292,-122.2328526 37.848594,-122.2327473 37.8486018,-122.2326391 37.8486108,-122.2325313 37.8486206,-122.2324312 37.8486304,-122.232331 37.8486405,-122.2322285 37.8486518,-122.2315829 37.8487204,-122.231419 37.848736,-122.2312681 37.8487467,-122.2311086 37.848755,-122.2309518 37.848761,-122.2307886 37.8487637,-122.2306245 37.8487649,-122.2304644 37.8487618,-122.2302989 37.8487564,-122.2301439 37.8487489,-122.2299845 37.8487375,-122.2298228 37.8487217,-122.2291882 37.8486513,-122.2291069 37.8486415,-122.2290263 37.8486304,-122.2289529 37.8486181,-122.2288781 37.8486021,-122.2288036 37.8485831,-122.2287258 37.8485584,-122.228647 37.8485306,-122.2285738 37.8484996,-122.2285033 37.8484668,-122.2284429 37.8484349,-122.2283841 37.8483995,-122.2283267 37.8483618,-122.2282705 37.8483227,-122.2282092 37.8482769,-122.2281587 37.8482324,-122.2281075 37.8481813,-122.2280566 37.8481242,-122.2280128 37.84807,-122.2279749 37.8480188,-122.2279356 37.8479571,-122.2279029 37.8478998,-122.2278754 37.8478427,-122.2278483 37.8477823,-122.2278239 37.8477215,-122.2276724 37.8472986)","2190","790","984","1","10627749",795.779,motorway_link,"1","65","900",27.3863057886154
"LINESTRING (-122.235691 37.8487654,-122.2355325 37.8487245,-122.2353752 37.8486904,-122.2352169 37.8486607,-122.2350536 37.8486358,-122.2348878 37.8486161,-122.2347192 37.8486018,-122.2345538 37.8485924,-122.2343903 37.8485884,-122.234224 37.8485906,-122.2340592 37.848598,-122.2338939 37.84861,-122.233733 37.8486269,-122.233569 37.8486457,-122.2317694 37.8488438,-122.2316065 37.8488608,-122.2314442 37.8488767,-122.2312787 37.8488885,-122.2311146 37.848897,-122.2309501 37.8489024,-122.230785 37.8489052,-122.2306205 37.8489042,-122.2304561 37.8489001,-122.2302906 37.8488931,-122.2301285 37.848883,-122.2299645 37.84887,-122.2298011 37.8488538,-122.2296361 37.8488347,-122.2287682 37.8487323,-122.2278325 37.8486218,-122.22755 37.8485879,-122.2273797 37.8485687,-122.2272239 37.8485541,-122.227065 37.8485432,-122.2269017 37.8485361,-122.226734 37.8485353,-122.2265755 37.8485383,-122.2264128 37.8485455,-122.2262613 37.8485587,-122.2260912 37.8485782,-122.2259422 37.8486016,-122.225782 37.8486307,-122.2256209 37.8486652,-122.2254634 37.8487046,-122.2253374 37.8487389,-122.2251755 37.8487904,-122.2250276 37.8488434,-122.2248799 37.8489001,-122.2247328 37.8489646,-122.224593 37.8490308,-122.2244645 37.8490974,-122.2243317 37.8491723,-122.2242025 37.8492528,-122.2240799 37.8493348,-122.2239532 37.8494255,-122.2238344 37.8495176,-122.2237225 37.8496127,-122.2236152 37.849711,-122.2235091 37.8498174,-122.2234121 37.8499216,-122.2233202 37.8500288,-122.2232328 37.850142)","2191","790","791","1","10627836",1165.535,motorway,"4","30","7200",86.9077287633333
"LINESTRING (-122.2232328 37.850142,-122.2231538 37.8502543,-122.2230782 37.8503738,-122.2230083 37.8504927,-122.2229464 37.8506141,-122.2228918 37.850733,-122.2228448 37.8508447)","2192","791","1135","1","930102571",85.416,motorway,"5","55","9000",3.47400849163636
