WKT,uniqueid,start_nid,end_nid,oneway,osmid,length,type,lanes,maxspeed,capacity,fft
"LINESTRING (-122.2459046 37.849514,-122.2466831 37.8492039)","896","738","323","0","28867363",76.559,tertiary,"2","30","1800",5.70859631533333
"LINESTRING (-122.2459046 37.849514,-122.2458567 37.8494517,-122.2450209 37.8483664,-122.2449626 37.8482912)","897","322","323","0","6340480",159.149,residential,"1","30","900",11.8668921353333
"LINESTRING (-122.2312211 37.8589826,-122.2312707 37.8590319,-122.2314142 37.859071,-122.2317239 37.8590875)","898","283","324","0","6340515",47.579,residential,"1","30","900",3.54771227533333
"LINESTRING (-122.2580626 37.8454404,-122.2592785 37.8452748)","899","709","325","0","6385420",108.341,residential,"1","30","900",8.07841055133333
"LINESTRING (-122.2580626 37.8454404,-122.2581514 37.8458748)","900","326","325","0","806214769",48.928,residential,"1","30","900",3.64830001066667
"LINESTRING (-122.2580626 37.8454404,-122.2579831 37.8450061,-122.2579637 37.8449749,-122.257933 37.8449515,-122.2575538 37.8447568)","901","262","325","0","6340555",96.122,residential,"1","30","900",7.16730488933333
"LINESTRING (-122.2581514 37.8458748,-122.2572385 37.8459908)","902","264","326","0","6407666",81.19,residential,"1","30","900",6.05390528666667
"LINESTRING (-122.2581514 37.8458748,-122.2582032 37.846143)","903","327","326","0","806214769",30.167,residential,"1","30","900",2.24939229933333
"LINESTRING (-122.2581514 37.8458748,-122.2580626 37.8454404)","904","325","326","0","806214769",48.928,residential,"1","30","900",3.64830001066667
"LINESTRING (-122.2582032 37.846143,-122.2594141 37.8459829)","905","722","327","0","6407668",107.805,residential,"1","30","900",8.03844389
"LINESTRING (-122.2582032 37.846143,-122.2582842 37.8465846)","906","328","327","0","806214769",49.616,residential,"1","30","900",3.69960050133333
"LINESTRING (-122.2582032 37.846143,-122.2581514 37.8458748)","907","326","327","0","806214769",30.167,residential,"1","30","900",2.24939229933333
"LINESTRING (-122.2582842 37.8465846,-122.2582032 37.846143)","908","327","328","0","806214769",49.616,residential,"1","30","900",3.69960050133333
"LINESTRING (-122.2582842 37.8465846,-122.2565217 37.846809,-122.2564215 37.8468181)","909","247","328","0","6366280",165.612,residential,"1","30","900",12.348803576
