Run #, C1, C2, C3, C4, C5, C6, C7, C8, D, tt_1, tt_2, tt_3
156, 1744.73, 563.824, 1945.12, 328.569, 328.178, 411.183, 357.698, 1949.65, 3741.11, 1028.59, 1028.59, 1028.59
157, 1667.63, 495.505, 2073.16, 340.315, 244.984, 493.035, 436.836, 1745.54, 4282.92, 1442.8, 1442.8, 1442.8
158, 1925.93, 362.699, 1408.79, 347.819, 322.531, 494.134, 456.378, 1880.97, 3830.95, 1589.06, 1589.05, 1589.06
159, 1655.04, 443.553, 1805.69, 338.904, 370.94, 465.86, 457.733, 1670.39, 3857.42, 1279.3, 1279.3, 1279.3
160, 1882.06, 480.513, 1823.27, 341.575, 361.293, 454.934, 373.07, 2082.24, 3756.26, 1022.21, 1022.21, 1022.21
161, 2045.37, 423.88, 2069.41, 274.356, 347.586, 571.796, 477.431, 1609.29, 4055.87, 1126.38, 1126.38, 1126.38
162, 2075.74, 425.746, 1994.86, 315.501, 321.38, 409.026, 501.749, 1785.82, 4133.66, 1139.57, 1139.57, 1139.57
163, 1895.65, 477.405, 1964.33, 253.382, 301.753, 406.388, 401.013, 1470.35, 3522.02, 981.875, 981.874, 981.874
164, 1706.51, 514.958, 2039.49, 271.068, 291.353, 474.994, 513.619, 1989.89, 3698.33, 1012.71, 1012.71, 1012.71
165, 1869.02, 540.971, 1900.38, 320.524, 318.374, 560.396, 366.293, 2055.19, 3327.51, 844.358, 844.358, 844.358
166, 2028.41, 413.017, 1816.22, 338.287, 276.177, 459.035, 419.504, 1558.9, 4205.1, 1408.37, 1408.37, 1408.37
167, 1953.52, 425.983, 1830.16, 292.63, 305.928, 360.186, 414.821, 1865.04, 3975.81, 1182.1, 1182.09, 1182.1
168, 1715.04, 461.694, 1648.74, 295.021, 323.576, 520.646, 468.46, 1832.65, 3504.96, 1074.81, 1074.8, 1074.8
169, 1583.28, 357.428, 1787.28, 268.516, 304.448, 497.552, 408.881, 1635.12, 4309.27, 1946.19, 1946.18, 1946.19
170, 1904.07, 526.57, 1614.16, 290.647, 252.422, 417.137, 438.766, 2019.96, 4097.51, 1465.51, 1465.5, 1465.5
171, 2007.16, 454.038, 2216.59, 270.66, 278.68, 440.31, 473.517, 2032.33, 3995.79, 968.572, 968.57, 968.571
172, 1722.34, 534.726, 1609.01, 280.361, 258.068, 429.223, 494.984, 1954.63, 3729.22, 1253.11, 1253.1, 1253.1
173, 1968.21, 468.988, 1773.9, 307.55, 311.53, 334.677, 393.656, 1669.68, 3806.8, 1124.7, 1124.69, 1124.69
174, 1795.14, 431.793, 1795.47, 332.619, 334.534, 517.421, 397.636, 1971.57, 3559.89, 990.137, 990.134, 990.136
175, 1900.7, 441.522, 2265.78, 255.249, 299.951, 519.319, 430.924, 2028.85, 3885.91, 960.74, 960.74, 960.74
176, 1982.37, 371.061, 1789.65, 261.344, 263.174, 452.792, 461.145, 1871.04, 3528.27, 967.298, 967.294, 967.296
177, 1956.16, 462.878, 1834.29, 316.775, 324.056, 469.117, 507.44, 1793.12, 3313.55, 854.171, 854.17, 854.171
178, 1820.59, 418.29, 1548.55, 344.717, 319.19, 437.786, 491.141, 1775.77, 3897.17, 1434.8, 1434.79, 1434.79
179, 1733.36, 415.814, 1745.35, 335.538, 322.052, 421.227, 420.272, 1927.13, 4043.65, 1396.79, 1396.78, 1396.78
180, 2065.06, 438.561, 1767.26, 298.733, 253.989, 377.134, 417.785, 1827.5, 3690.74, 1026.13, 1026.13, 1026.13
181, 1864.16, 447.687, 1567.36, 272.411, 285.33, 427.925, 362.958, 1825.04, 3603.07, 1170.04, 1170.03, 1170.03
182, 2115.21, 455.743, 1880.21, 264.026, 318.649, 483.136, 483.246, 1841.05, 3537.06, 888.501, 888.5, 888.501
183, 1961.65, 429.426, 1661.09, 259.784, 286.518, 405.873, 466.613, 1769.22, 4881.03, 2444.79, 2444.77, 2444.76
184, 1766.76, 445.586, 1579.06, 327.331, 282.846, 416.658, 509.66, 1876.97, 3130.35, 898.938, 898.936, 898.937
185, 1613.52, 496.16, 1971.71, 314.822, 240.534, 418.075, 431.592, 1387.46, 4067.02, 1526.5, 1526.5, 1526.5
186, 1994.75, 483.178, 1876.36, 292.386, 266.761, 399.417, 350.36, 1575.38, 3244.36, 851.055, 855.193, 851.055
187, 1423.51, 512.918, 2014.86, 314.264, 290.31, 472.351, 427.757, 1994.15, 3821.19, 1357.78, 1357.77, 1357.78
188, 2082.81, 430.528, 1752.34, 317.368, 368.545, 431.585, 377.379, 1930, 3296.26, 842.732, 842.731, 842.732
189, 2001.05, 467.308, 1670.31, 301.775, 317.445, 481.537, 383.694, 2122.29, 3966.3, 1233.62, 1233.62, 1233.61
190, 2181.02, 449.73, 1758.76, 343.135, 271.696, 457.37, 492.981, 1585.43, 3650.65, 1006.75, 1006.74, 1006.74
191, 1652.31, 485.488, 1610.15, 291.788, 330.268, 444.812, 415.257, 1830.19, 3713.31, 1278.36, 1278.35, 1278.35
192, 1944.62, 472.269, 1631.29, 291.62, 319.408, 407.622, 421.679, 1602.92, 3677.44, 1154.3, 1154.29, 1154.29
193, 1915.28, 389.507, 1516.35, 348.175, 265.069, 447.803, 471.503, 1788.62, 4303.2, 1947.8, 1947.78, 1947.8
194, 1831.61, 373.654, 1976.36, 306.752, 311.857, 465.262, 461.703, 1737.65, 3091.35, 765.689, 840.606, 765.689
195, 1795.6, 482.103, 1798.45, 352.333, 309.381, 443.56, 433.213, 2065.29, 3355.94, 888.326, 888.326, 888.326
196, 1802.41, 448.497, 1698.33, 299.536, 258.965, 489.367, 413.721, 1684.54, 3532.41, 1059.01, 1059, 1059.01
197, 2022, 460.971, 1669.56, 312.211, 312.776, 370.068, 474.997, 1730.8, 4192.88, 1473.91, 1473.9, 1473.9
198, 2065.8, 452.46, 1961.03, 297.609, 315.724, 478.679, 511.469, 2206.93, 3625.72, 871.764, 871.762, 871.762
199, 1712.82, 397.857, 1733.4, 265.106, 275.768, 491.686, 427.447, 1774.66, 4048.27, 1497.64, 1497.63, 1497.63
200, 1784.23, 414.719, 1839.08, 330.996, 287.203, 450.85, 440.245, 1884.35, 3914.21, 1201, 1201, 1201
